Order_ID,Date,Product,Category,City,Quantity,Price,Total_Sales
1000,2025-01-13,Mobile,Electronics,Chennai,6,20000,120000
1001,2025-04-25,Keyboard,Accessories,Delhi,2,800,1600
1002,2025-10-30,Mobile,Electronics,Kolkata,4,20000,80000
1003,2025-02-17,Laptop,Electronics,Bangalore,2,55000,110000
1004,2025-10-15,Laptop,Electronics,Pune,2,55000,110000
1005,2025-08-18,Keyboard,Accessories,Chennai,5,800,4000
1006,2025-03-23,Laptop,Electronics,Pune,6,55000,330000
1007,2025-05-23,Monitor,Electronics,Bangalore,2,12000,24000
1008,2025-02-22,Monitor,Electronics,Pune,1,12000,12000
1009,2025-07-03,Mobile,Electronics,Chennai,3,20000,60000
1010,2025-08-24,Laptop,Electronics,Delhi,5,55000,275000
1011,2025-02-10,Tablet,Electronics,Chennai,5,30000,150000
1012,2025-10-23,Monitor,Electronics,Delhi,2,12000,24000
1013,2025-12-05,Laptop,Electronics,Chennai,2,55000,110000
1014,2025-04-30,Mobile,Electronics,Pune,1,20000,20000
1015,2025-08-21,Mouse,Accessories,Hyderabad,6,500,3000
1016,2025-07-09,Headphones,Accessories,Bangalore,3,1500,4500
1017,2025-12-26,Mouse,Accessories,Delhi,6,500,3000
1018,2025-10-01,Headphones,Accessories,Bangalore,6,1500,9000
1019,2025-08-25,Headphones,Accessories,Chennai,4,1500,6000
1020,2025-12-17,Keyboard,Accessories,Kolkata,3,800,2400
1021,2025-01-17,Keyboard,Accessories,Pune,3,800,2400
1022,2025-02-03,Mouse,Accessories,Hyderabad,2,500,1000
1023,2025-12-02,Keyboard,Accessories,Pune,4,800,3200
1024,2025-03-15,Smartwatch,Electronics,Mumbai,3,7000,21000
1025,2025-10-15,Keyboard,Accessories,Chennai,5,800,4000
1026,2025-10-26,Tablet,Electronics,Hyderabad,4,30000,120000
1027,2025-03-12,Keyboard,Accessories,Ahmedabad,5,800,4000
1028,2025-01-25,Mobile,Electronics,Mumbai,1,20000,20000
1029,2025-12-15,Headphones,Accessories,Delhi,4,1500,6000
1030,2025-07-15,Tablet,Electronics,Ahmedabad,5,30000,150000
1031,2025-10-11,Mouse,Accessories,Delhi,1,500,500
1032,2025-11-25,Mouse,Accessories,Delhi,3,500,1500
1033,2025-08-11,Mouse,Accessories,Ahmedabad,2,500,1000
1034,2025-05-15,Laptop,Electronics,Mumbai,5,55000,275000
1035,2025-11-17,Mobile,Electronics,Bangalore,3,20000,60000
1036,2025-07-11,Headphones,Accessories,Kolkata,2,1500,3000
1037,2025-09-08,Monitor,Electronics,Delhi,1,12000,12000
1038,2025-06-07,Monitor,Electronics,Kolkata,2,12000,24000
1039,2025-10-18,Keyboard,Accessories,Delhi,1,800,800
1040,2025-02-05,Smartwatch,Electronics,Mumbai,5,7000,35000
1041,2025-12-04,Headphones,Accessories,Mumbai,4,1500,6000
1042,2025-09-28,Mouse,Accessories,Pune,5,500,2500
1043,2025-10-04,Keyboard,Accessories,Bangalore,6,800,4800
1044,2025-07-24,Mouse,Accessories,Hyderabad,6,500,3000
1045,2025-09-22,Smartwatch,Electronics,Delhi,4,7000,28000
1046,2025-04-26,Keyboard,Accessories,Hyderabad,1,800,800
1047,2025-10-29,Laptop,Electronics,Bangalore,5,55000,275000
1048,2025-01-04,Keyboard,Accessories,Kolkata,1,800,800
1049,2025-02-04,Keyboard,Accessories,Hyderabad,1,800,800
1050,2025-09-21,Mobile,Electronics,Chennai,2,20000,40000
1051,2025-04-20,Smartwatch,Electronics,Mumbai,5,7000,35000
